更新时间: 2026-01-01 19:40:49（北京时间）

更新时间,#genre#
2026-01-01 19:40:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
电视指南,http://115.45.243.189:8888/rtp/239.253.43.19:5146$广东电信
电视指南,http://113.101.244.14:10000/rtp/239.253.43.19:5146$广东电信
中学生,http://113.25.107.189:10000/rtp/239.1.1.104:8104$山西电信
中学生,http://115.45.243.189:8888/rtp/239.77.1.195:5146$广东电信
中学生,http://113.101.244.14:10000/rtp/239.77.1.195:5146$广东电信
发现之旅,http://113.25.107.189:10000/rtp/239.1.1.103:8103$山西电信
发现之旅,http://115.45.243.189:8888/rtp/239.77.1.112:5146$广东电信
发现之旅,http://113.101.244.14:10000/rtp/239.77.1.112:5146$广东电信
书法频道,http://115.45.243.189:8888/rtp/239.77.1.115:5146$广东电信
书法频道,http://113.101.244.14:10000/rtp/239.77.1.115:5146$广东电信
国学频道,http://115.45.243.189:8888/rtp/239.77.0.226:5146$广东电信
国学频道,http://113.101.244.14:10000/rtp/239.77.0.226:5146$广东电信
环球奇观,http://113.25.107.189:10000/rtp/239.1.1.98:8098$山西电信
环球奇观,http://115.45.243.189:8888/rtp/239.77.1.198:5146$广东电信
环球奇观,http://113.101.244.14:10000/rtp/239.77.1.198:5146$广东电信

卫视频道,#genre#
湖南卫视,http://211.158.153.37:8002/rtp/225.0.4.75:7980$四川联通
湖南卫视,http://211.158.153.37:8002/rtp/225.0.4.107:7980$四川联通
湖南卫视,http://113.25.107.189:10000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://112.226.186.244:1025/udp/239.253.254.82:8000$山东联通
湖南卫视,http://115.45.243.189:8888/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://115.45.243.189:8888/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://113.120.108.164:4000/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://113.101.244.14:10000/rtp/239.77.1.5:5146$广东电信
